,freq,vals
88,0.042,4.367844698855151
89,0.0422,4.360378297660528
90,0.0424,4.470881035340965
91,0.0426,4.400696864111498
92,0.0427,4.393230462916874
93,0.0429,4.408909905425585
94,0.0431,4.504479840716774
95,0.0433,4.399203583872573
96,0.0435,4.4619213539074165
97,0.0437,4.413389746142359
98,0.0439,4.417869586859134
99,0.0441,4.43205574912892
100,0.0443,4.52165256346441
101,0.0445,4.568690890990542
102,0.0447,4.507466401194624
103,0.0449,4.431309109009458
104,0.0451,4.585116973618716
105,0.0453,4.523892483822797
106,0.0454,4.3909905425584865
107,0.0456,4.4723743155798905
108,0.0458,4.600796416127427
109,0.046,4.511199601791937
110,0.0462,4.691139870582379
111,0.0464,4.611249377799901
112,0.0466,4.5671976107516175
113,0.0468,4.629915380786461
114,0.047,4.672473867595819
115,0.0472,4.460428073668492
116,0.0474,4.613489298158288
117,0.0476,4.715778994524639
118,0.0478,4.6246888999502245
119,0.048,4.661274265803883
120,0.0481,4.7852165256346435
121,0.0483,4.726978596316576
122,0.0485,4.66052762568442
123,0.0487,4.66650074664012
124,0.0489,4.759830761572921
125,0.0491,4.859880537580886
126,0.0493,4.77775012444002
127,0.0495,4.77775012444002
128,0.0497,4.813588850174217
129,0.0499,4.8322548531607765
130,0.0501,4.84868093578895
131,0.0503,4.945744151319064
132,0.0505,4.859133897461423
133,0.0507,4.986062717770034
134,0.0508,4.8927327028372325
135,0.051,4.891239422598307
136,0.0512,4.9061722249875555
137,0.0514,4.962170233947237
138,0.0516,4.948730711796914
139,0.0518,4.926331508213041
140,0.052,4.993529118964659
141,0.0522,4.986062717770034
142,0.0524,5.030114484818318
143,0.0526,5.103285216525634
144,0.0528,5.064459930313589
145,0.053,5.082379293180686
146,0.0532,5.103285216525634
147,0.0534,5.012195121951219
148,0.0535,5.140617222498756
149,0.0537,5.099552015928323
150,0.0539,5.263066202090592
151,0.0541,5.23768043802887
152,0.0543,5.269785963165754
153,0.0545,5.210801393728223
154,0.0547,5.328023892483823
155,0.0549,5.297411647585864
156,0.0551,5.24066699850672
157,0.0553,5.366102538576406
158,0.0555,5.297411647585864
159,0.0557,5.321304131408661
160,0.0559,5.372822299651568
161,0.0561,5.3183175709308115
162,0.0562,5.312344449975112
163,0.0564,5.422100547536088
164,0.0566,5.374315579890492
