Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
5980.1,0.0144
5985.1,0.0145
5990.1,0.0145
5995.1,0.0142
6000.1,0.014
6005.1,0.0142
6010.1,0.0142
6015.1,0.0143
6020.1,0.0144
6025.1,0.0141
6030.1,0.0143
6035.1,0.0144
6040.1,0.0148
6045.1,0.0142
6050.1,0.0144
6055.1,0.014
6060.1,0.0142
6065.1,0.0143
6070.1,0.0145
6075.1,0.0146
6080.1,0.0143
6085.1,0.0146
6090.1,0.0142
6095.1,0.0142
6100.1,0.014
6105.1,0.0142
6110.1,0.0142
6115.1,0.0142
6120.1,0.0147
6125.1,0.0144
6130.1,0.0147
6135.1,0.0147
6140.1,0.014
6145.1,0.014
6150.1,0.0141
6155.1,0.0143
6160.1,0.0142
6165.1,0.0142
6170.1,0.0144
6175.1,0.0139
6180.1,0.0141
6185.1,0.0142
6190.1,0.0141
6195.1,0.0141
6200.1,0.0141
6205.1,0.0138
6210.1,0.0139
6215.1,0.014
6220.1,0.0139
6225.1,0.0142
6230.1,0.014
6235.1,0.0141
6240.1,0.0142
6245.1,0.014
6250.1,0.014
6255.1,0.0142
6260.1,0.0143
6265.1,0.0141
6270.1,0.014
6275.1,0.0141
6280.1,0.014
6285.1,0.0141
6290.1,0.0139
6295.1,0.0141
6300.1,0.0139
6305.1,0.014
6310.1,0.0139
6315.1,0.0139
6320.1,0.014
6325.1,0.0141
6330.1,0.0139
6335.1,0.014
6340.1,0.0142
6345.1,0.0138
6350.1,0.014
6355.1,0.0138
6360.1,0.0139
6365.1,0.0142
6370.1,0.0141
6375.1,0.0144
6380.1,0.0144
6385.1,0.0144
6390.1,0.0144
6395.1,0.0146
6400.1,0.0147
6405.1,0.0144
6410.1,0.0147
6415.1,0.0148
6420.1,0.0149
6425.1,0.0149
6430.1,0.0151
6435.1,0.015
6440.1,0.015
6445.1,0.015
6450.1,0.0151
6455.1,0.0151
6460.1,0.0149
6465.1,0.0147
6470.1,0.0146
6475.1,0.0146
6480.1,0.0145
6485.1,0.0146
6490.1,0.0146
6495.1,0.0144
6500.1,0.0145
6505.1,0.0143
6510.1,0.0143
6515.1,0.0146
6520.1,0.0145
6525.1,0.0145
6530.1,0.0147
6535.1,0.0147
6540.1,0.0149
6545.1,0.0147
6550.1,0.0144
6555.1,0.0147
6560.1,0.0147
6565.1,0.0145
6570.1,0.0147
6575.1,0.0148
6580.1,0.0148
6585.1,0.0148
6590.1,0.0148
6595.1,0.0148
6600.1,0.0149
6605.1,0.015
6610.1,0.015
6615.1,0.0153
6620.1,0.0153
6625.1,0.0158
6630.1,0.0163
6635.1,0.0167
6640.1,0.0186
6645.1,0.0256
6650.1,0.0403
6655.1,0.6782
6660.1,0.8598
6665.1,4.898
6670.1,0.0645
6675.1,0.0286
6680.1,0.0211
6685.1,0.0174
6690.1,0.0164
6695.1,0.0157
