Wavelength(10nm),Signal_Amplitude(V)
3837.1,0.0175
3838.1,0.0174
3839.1,0.0175
3840.1,0.0176
3841.1,0.0178
3842.1,0.0179
3843.1,0.0179
3844.1,0.0177
3845.1,0.0176
3846.1,0.0176
3847.1,0.0174
3848.1,0.0173
3849.1,0.0173
3850.1,0.0173
3851.1,0.0174
3852.1,0.0174
3853.1,0.0172
3854.1,0.0174
3855.1,0.0173
3856.1,0.0172
3857.1,0.0173
3858.1,0.0174
3859.1,0.0175
3860.1,0.018
3861.1,0.0183
3862.1,0.0184
3863.1,0.0185
3864.1,0.0185
3865.1,0.0181
3866.1,0.0176
3867.1,0.0174
3868.1,0.0174
3869.1,0.0174
3870.1,0.0173
3871.1,0.0174
3872.1,0.0174
3873.1,0.0174
3874.1,0.0175
3875.1,0.0175
3876.1,0.0175
3877.1,0.0175
3878.1,0.0175
3879.1,0.0175
3880.1,0.0175
3881.1,0.0174
3882.1,0.0174
3883.1,0.0175
3884.1,0.0174
3885.1,0.0175
3886.1,0.0178
3887.1,0.0185
3888.1,0.0195
3889.1,0.0204
3890.1,0.0204
3891.1,0.0207
3892.1,0.0199
3893.1,0.0187
3894.1,0.0179
3895.1,0.0176
3896.1,0.0177
3897.1,0.0175
3898.1,0.0175
3899.1,0.0175
3900.1,0.0175
3901.1,0.0175
3902.1,0.0175
3903.1,0.0177
3904.1,0.0175
3905.1,0.0175
3906.1,0.0175
3907.1,0.0175
3908.1,0.0175
3909.1,0.0174
3910.1,0.0174
3911.1,0.0173
3912.1,0.0174
3913.1,0.0174
3914.1,0.0174
3915.1,0.0175
3916.1,0.0174
3917.1,0.0176
3918.1,0.0174
3919.1,0.0175
3920.1,0.0174
3921.1,0.0175
3922.1,0.0176
3923.1,0.0176
3924.1,0.0177
3925.1,0.0187
3926.1,0.0207
3927.1,0.0233
3928.1,0.0239
3929.1,0.0239
3930.1,0.0232
3931.1,0.0211
3932.1,0.0183
3933.1,0.0178
3934.1,0.0175
3935.1,0.0175
3936.1,0.0175
3937.1,0.0176
3938.1,0.0175
3939.1,0.0173
3940.1,0.0177
3941.1,0.0176
3942.1,0.0176
3943.1,0.0178
3944.1,0.0177
3945.1,0.0177
3946.1,0.0176
3947.1,0.0175
3948.1,0.0176
3949.1,0.0176
3950.1,0.0175
3951.1,0.0178
3952.1,0.018
3953.1,0.0179
3954.1,0.0181
3955.1,0.0181
3956.1,0.018
3957.1,0.0181
3958.1,0.018
3959.1,0.0179
3960.1,0.0178
3961.1,0.0178
3962.1,0.018
3963.1,0.018
3964.1,0.0183
3965.1,0.0184
3966.1,0.0182
3967.1,0.0181
3968.1,0.0177
3969.1,0.0176
3970.1,0.0174
3971.1,0.0177
3972.1,0.0176
3973.1,0.0175
3974.1,0.0176
3975.1,0.0174
3976.1,0.0176
3977.1,0.0176
3978.1,0.0176
3979.1,0.0179
3980.1,0.0219
3981.1,0.0289
3982.1,0.0342
3983.1,0.0359
3984.1,0.0363
3985.1,0.0343
3986.1,0.0286
3987.1,0.0198
3988.1,0.0179
3989.1,0.0177
3990.1,0.0176
3991.1,0.0174
3992.1,0.0175
3993.1,0.0174
3994.1,0.0175
3995.1,0.0175
3996.1,0.0176
3997.1,0.0175
3998.1,0.0176
3999.1,0.0173
4000.1,0.0174
4001.1,0.0175
4002.1,0.0175
4003.1,0.0174
4004.1,0.0176
4005.1,0.0175
4006.1,0.0174
4007.1,0.0173
4008.1,0.0173
4009.1,0.0175
4010.1,0.0176
4011.1,0.0177
4012.1,0.0174
4013.1,0.0175
4014.1,0.0175
4015.1,0.0175
4016.1,0.0174
4017.1,0.0175
4018.1,0.0175
4019.1,0.0177
4020.1,0.0176
4021.1,0.0176
4022.1,0.0176
4023.1,0.0177
4024.1,0.0175
4025.1,0.0175
4026.1,0.0176
4027.1,0.0177
4028.1,0.0177
4029.1,0.0176
4030.1,0.0175
4031.1,0.0178
4032.1,0.0176
4033.1,0.0175
4034.1,0.0176
4035.1,0.0175
4036.1,0.0177
4037.1,0.0177
4038.1,0.0176
4039.1,0.0177
4040.1,0.018
4041.1,0.0181
4042.1,0.0182
4043.1,0.0181
4044.1,0.018
4045.1,0.0179
4046.1,0.0179
4047.1,0.0178
4048.1,0.0179
4049.1,0.0175
4050.1,0.0177
4051.1,0.0177
4052.1,0.0178
4053.1,0.0178
4054.1,0.0179
4055.1,0.0182
4056.1,0.018
4057.1,0.0181
4058.1,0.0183
4059.1,0.0184
4060.1,0.0187
4061.1,0.0262
4062.1,0.0631
4063.1,0.0759
4064.1,0.08
4065.1,0.08
4066.1,0.0696
4067.1,0.0478
4068.1,0.0282
4069.1,0.0194
4070.1,0.0186
4071.1,0.0184
4072.1,0.0182
4073.1,0.0182
4074.1,0.0182
4075.1,0.0183
4076.1,0.0181
4077.1,0.0181
4078.1,0.0183
4079.1,0.0182
4080.1,0.0181
4081.1,0.0181
4082.1,0.0184
4083.1,0.0183
4084.1,0.0188
4085.1,0.0187
4086.1,0.0187
4087.1,0.0183
4088.1,0.0183
4089.1,0.0182
4090.1,0.0182
4091.1,0.0181
4092.1,0.0182
4093.1,0.0182
4094.1,0.0181
4095.1,0.0181
4096.1,0.0181
4097.1,0.0183
4098.1,0.0183
4099.1,0.0183
4100.1,0.0183
4101.1,0.0181
4102.1,0.0181
4103.1,0.018
4104.1,0.0179
4105.1,0.0178
4106.1,0.018
4107.1,0.018
4108.1,0.018
4109.1,0.0179
4110.1,0.018
4111.1,0.018
4112.1,0.0181
4113.1,0.0181
4114.1,0.0179
4115.1,0.018
4116.1,0.0179
4117.1,0.018
4118.1,0.0181
4119.1,0.0184
4120.1,0.0183
4121.1,0.0184
4122.1,0.0182
4123.1,0.0182
4124.1,0.018
4125.1,0.0181
4126.1,0.0181
4127.1,0.0179
4128.1,0.0178
4129.1,0.0179
4130.1,0.0179
4131.1,0.0178
4132.1,0.018
4133.1,0.0179
4134.1,0.018
4135.1,0.018
4136.1,0.018
4137.1,0.0179
4138.1,0.0182
4139.1,0.0182
4140.1,0.0183
4141.1,0.0182
4142.1,0.0183
4143.1,0.0181
4144.1,0.0182
4145.1,0.0182
4146.1,0.0183
4147.1,0.0184
4148.1,0.0184
4149.1,0.0185
4150.1,0.0182
4151.1,0.0182
4152.1,0.0184
4153.1,0.0189
4154.1,0.0192
4155.1,0.0196
4156.1,0.0196
4157.1,0.0198
4158.1,0.0197
4159.1,0.0198
4160.1,0.02
4161.1,0.0201
4162.1,0.02
4163.1,0.0197
4164.1,0.0196
4165.1,0.0192
4166.1,0.019
4167.1,0.0185
4168.1,0.0184
4169.1,0.0187
4170.1,0.0187
4171.1,0.0185
4172.1,0.0187
4173.1,0.0188
4174.1,0.0185
4175.1,0.0186
4176.1,0.0185
4177.1,0.0189
4178.1,0.0186
4179.1,0.019
4180.1,0.0188
4181.1,0.0187
4182.1,0.0186
4183.1,0.0184
4184.1,0.0185
4185.1,0.0185
4186.1,0.0191
4187.1,0.0192
4188.1,0.0196
4189.1,0.0208
4190.1,0.0227
4191.1,0.0763
4192.1,0.1703
4193.1,0.2396
4194.1,0.2845
4195.1,0.2865
4196.1,0.2824
4197.1,0.1286
4198.1,0.0569
4199.1,0.0294
4200.1,0.0202
4201.1,0.0195
4202.1,0.019
4203.1,0.0188
4204.1,0.0187
4205.1,0.0187
4206.1,0.0184
4207.1,0.0185
4208.1,0.0184
4209.1,0.0183
4210.1,0.0181
4211.1,0.0181
4212.1,0.0183
4213.1,0.0182
4214.1,0.0181
4215.1,0.0181
4216.1,0.0182
4217.1,0.0179
4218.1,0.018
4219.1,0.0181
4220.1,0.018
4221.1,0.018
4222.1,0.0181
4223.1,0.0183
4224.1,0.0183
4225.1,0.0183
4226.1,0.0184
4227.1,0.0183
4228.1,0.0182
4229.1,0.0181
4230.1,0.0182
4231.1,0.018
4232.1,0.018
4233.1,0.018
4234.1,0.0181
4235.1,0.0181
4236.1,0.0178
4237.1,0.0182
4238.1,0.0182
4239.1,0.0181
4240.1,0.018
4241.1,0.018
4242.1,0.0181
4243.1,0.0179
4244.1,0.0178
4245.1,0.018
4246.1,0.018
4247.1,0.0181
4248.1,0.0184
4249.1,0.0185
4250.1,0.0184
4251.1,0.0185
4252.1,0.0186
4253.1,0.0183
4254.1,0.0185
4255.1,0.0186
4256.1,0.0187
4257.1,0.0186
4258.1,0.0186
4259.1,0.0185
4260.1,0.0183
4261.1,0.018
4262.1,0.0184
4263.1,0.0184
4264.1,0.0188
4265.1,0.019
4266.1,0.019
4267.1,0.0193
4268.1,0.0191
4269.1,0.0199
4270.1,0.0202
4271.1,0.0204
4272.1,0.0205
4273.1,0.0203
4274.1,0.02
4275.1,0.0194
4276.1,0.0192
4277.1,0.0186
4278.1,0.0184
4279.1,0.0183
4280.1,0.018
4281.1,0.018
4282.1,0.018
4283.1,0.0179
4284.1,0.0182
4285.1,0.018
4286.1,0.0179
4287.1,0.018
4288.1,0.0182
4289.1,0.0184
4290.1,0.0185
4291.1,0.0187
4292.1,0.0186
4293.1,0.0186
4294.1,0.0185
4295.1,0.0185
4296.1,0.0185
4297.1,0.0188
4298.1,0.0189
4299.1,0.0193
4300.1,0.0193
4301.1,0.0192
4302.1,0.019
4303.1,0.0189
4304.1,0.0191
4305.1,0.0195
4306.1,0.0195
4307.1,0.0194
4308.1,0.0191
4309.1,0.0188
4310.1,0.0184
4311.1,0.0181
4312.1,0.0181
4313.1,0.018
4314.1,0.018
4315.1,0.0181
4316.1,0.0183
4317.1,0.0184
4318.1,0.0185
4319.1,0.0182
4320.1,0.0182
4321.1,0.018
4322.1,0.018
4323.1,0.0178
4324.1,0.018
4325.1,0.0177
4326.1,0.0178
4327.1,0.0179
4328.1,0.0179
4329.1,0.0179
4330.1,0.0182
4331.1,0.0179
4332.1,0.0178
4333.1,0.0179
4334.1,0.0178
4335.1,0.0176
4336.1,0.018
4337.1,0.0179
4338.1,0.0179
4339.1,0.0179
4340.1,0.0177
4341.1,0.0179
4342.1,0.0177
4343.1,0.0178
4344.1,0.0178
4345.1,0.0179
4346.1,0.018
4347.1,0.0179
4348.1,0.0178
4349.1,0.018
4350.1,0.0179
4351.1,0.0179
4352.1,0.0178
4353.1,0.0179
4354.1,0.0177
4355.1,0.0179
4356.1,0.0179
4357.1,0.0177
4358.1,0.0179
4359.1,0.018
4360.1,0.0179
4361.1,0.0181
4362.1,0.0179
4363.1,0.0177
4364.1,0.0177
4365.1,0.0179
4366.1,0.0179
4367.1,0.0179
4368.1,0.0178
4369.1,0.0177
4370.1,0.0178
4371.1,0.0179
4372.1,0.0179
4373.1,0.0179
4374.1,0.0178
4375.1,0.0178
4376.1,0.018
4377.1,0.0178
4378.1,0.018
4379.1,0.0179
4380.1,0.0178
4381.1,0.018
4382.1,0.0178
4383.1,0.0179
4384.1,0.0182
4385.1,0.0181
4386.1,0.0182
4387.1,0.0179
4388.1,0.018
4389.1,0.0182
4390.1,0.018
4391.1,0.018
4392.1,0.0179
4393.1,0.0179
4394.1,0.0181
4395.1,0.018
4396.1,0.0183
4397.1,0.0183
4398.1,0.0183
4399.1,0.0184
4400.1,0.0183
4401.1,0.0183
4402.1,0.0182
4403.1,0.0182
4404.1,0.0181
4405.1,0.0182
4406.1,0.0183
4407.1,0.0183
4408.1,0.0182
4409.1,0.0182
4410.1,0.0182
4411.1,0.0183
4412.1,0.0185
4413.1,0.0183
4414.1,0.0183
4415.1,0.0185
4416.1,0.0186
4417.1,0.0187
4418.1,0.0188
4419.1,0.019
4420.1,0.0191
4421.1,0.0192
4422.1,0.0199
4423.1,0.0199
4424.1,0.0204
4425.1,0.0208
4426.1,0.0217
4427.1,0.0234
4428.1,0.0256
4429.1,0.0295
4430.1,0.0747
4431.1,0.4533
4432.1,1.007
4433.1,1.4316
4434.1,1.4965
4435.1,1.4818
4436.1,0.9939
4437.1,0.4365
4438.1,0.1378
4439.1,0.0356
4440.1,0.0294
4441.1,0.024
4442.1,0.0218
4443.1,0.0211
4444.1,0.0203
4445.1,0.0199
4446.1,0.0196
4447.1,0.0192
4448.1,0.0191
4449.1,0.019
4450.1,0.0189
4451.1,0.0186
4452.1,0.0184
4453.1,0.0185
4454.1,0.0185
4455.1,0.0186
4456.1,0.0185
4457.1,0.0185
4458.1,0.0187
4459.1,0.0188
4460.1,0.0191
4461.1,0.0193
4462.1,0.0193
4463.1,0.0191
4464.1,0.0187
4465.1,0.0184
4466.1,0.0182
4467.1,0.0182
4468.1,0.0182
4469.1,0.0183
4470.1,0.0184
4471.1,0.0187
4472.1,0.0187
4473.1,0.0189
4474.1,0.0187
4475.1,0.0183
4476.1,0.0183
4477.1,0.0182
4478.1,0.0183
4479.1,0.0184
4480.1,0.0183
4481.1,0.0186
4482.1,0.0192
4483.1,0.0193
4484.1,0.0193
4485.1,0.0192
4486.1,0.0187
4487.1,0.0182
4488.1,0.0179
4489.1,0.0179
4490.1,0.018
4491.1,0.0183
4492.1,0.0185
4493.1,0.0184
4494.1,0.0185
4495.1,0.0185
4496.1,0.0182
4497.1,0.0179
4498.1,0.018
4499.1,0.018
4500.1,0.018
4501.1,0.0181
4502.1,0.0186
4503.1,0.0201
4504.1,0.021
4505.1,0.022
4506.1,0.0227
4507.1,0.0228
4508.1,0.0226
4509.1,0.022
4510.1,0.0217
4511.1,0.0212
4512.1,0.0206
4513.1,0.0204
4514.1,0.0199
4515.1,0.0196
4516.1,0.0196
4517.1,0.0198
4518.1,0.0197
4519.1,0.0193
4520.1,0.0193
4521.1,0.0192
4522.1,0.0188
4523.1,0.0185
4524.1,0.0184
4525.1,0.0184
4526.1,0.0185
4527.1,0.0185
4528.1,0.0187
4529.1,0.0187
4530.1,0.0185
4531.1,0.0184
4532.1,0.0181
4533.1,0.0183
4534.1,0.0181
4535.1,0.0186
4536.1,0.0188
4537.1,0.019
4538.1,0.0203
4539.1,0.0208
4540.1,0.0211
4541.1,0.0212
4542.1,0.0212
4543.1,0.0203
4544.1,0.0199
4545.1,0.0195
4546.1,0.0191
4547.1,0.0193
